,text,mbti
715,아니 음악 있으면 진짜 참 좋을텐데,esfp
718,MP4 뭐 PMP에 노래 담아왔다면서요,istp
719,뮤지컬 노래밖에 없어요,isfp
721,어! 틀어드릴까요?,isfp
722,돼요? 아니 근데 우리 이거 못 써 그럼 저작권 때문에,istp
724,뭐 출 건지 물어봐도 돼요?,entj
725,아 그냥 다 그러니까 다른 곡 많은데 뭐 일단 제일 유명한 거 뭐.. 다이너마이트 그냥.. 아 진짜 짧게! 너무 길게 하면 지루하니까,enfj
726,안 지루해 안 지루해~,enfp
727,저 기럭지에? 다이너마이트?,entj
728,기럭지! 기럭지 미쳤어! 뭐야 어디까지 가!,entj
729,아니 분명히 손 뻗을 때 싱크대까지 가지 않았어?,entj
730,저 부엌에 가서 하겠습니다,isfp
731,바로 할 거예요 어 나 어떡해 너무 떨려! 엄마!! 엄마!!,isfp
732,뻔뻔함 보여드릴게요!,isfp
733,지금 하고 있는 거 아니야 이미? 오디션 본다 생각하세요!,istp
734,뻔뻔함 깜짝 놀라요!,isfp
735,기대 중입니다~,istp
736,과연 어떤 뻔뻔함일지,esfj
737,내 손을 잡아요 이제 지금.. 아 못 하겠어어억,isfp
738,저 손으로 오카리나 불 수 있어요,infp
739,요 요렇게? 요렇게 해가지고,entj
741,잠시만요 500원만 주세요 저기에 넣어야겠다 아~한 곡 더 들려주세요,entj
742,자 오늘의 첫 번째 메뉴다 봉골레 둘 이상,estp
743,아 그날에 나는 맘이 편했을까?,enfp
745,아 올라갈지 모르겠어,enfp
746,(그날에 나는 맘이 편했을까 - 이예준),enfp
747,너무 낮았다 그치?,enfp
748,와~너무 좋습니다,enfj
750,저 약간 눈물 났어요,intj
753,안 우신다면서요,esfj
754,저 진짜 안 울거든요 원래?,intj
755,한번만 더 해보자 진짜 우나 한번 보게,entj
756,당신은 잘못되면 오늘 비호감 하나 추가인 줄 알아,istp
760,왔다 내려오세요~,estj
761,저기요 장기자랑 뭐 했어요?,istp
762,저요? 앞구르기 했어요,entj
763,아무도 반응 없었어요?,istp
764,아니요 그냥 뭐 그러려니 하던데요,entj
765,야 와 우리 밀키트.. 요리.. 밀푀유나베 해먹는 거 같은데 얘들아?,entj
766,셰프니까 못하는 사람 보낼 순 없잖아요,estj
767,그렇지 양심상...,esfj
768,못하는 사람 보내야죠,istp
769,혼자 요리해야 되는 거 같은데?,istj
770,보면은 셰프가 혼자 요리하진 않잖아요,istp
771,아 그렇지 도와주고 막 이러니까,estp
773,아니면 이제 좀... 셰프니까 그러니까 좀.. 판단력 까다로운 사람,estj
774,가위바위보 하죠,estp
775,그게 그렇게 나와요?ㅋㅋ,estj
776,저 방에서 S.. 중에 요리 잘하는 분이 오시겠네요,intp
777,저쪽에서는 이제..,entj
778,아니면 우리 뭐 대충 먹으라고 막 요리 해본 적도 없는 사람 보낸 다음에,intp
779,와 근데 여러 가지가 있네~,entj
780,아 근데 이 정도면은 진짜 그냥 다 만들어요,entp
781,나는 이 정도도 못하겠는데?,intp
782,보고 만든다고?,entj
783,아니 어 이 보면은 쉬워요!,entp
784,근데 여기 계셔야 맛있게 먹을 수 있거.. 있을 거 같은데,intj
785,그런 것도 없지 않아 있어 그래서 보내고 싶진 않아 욕심 따라,entj
786,마음대로 하세요 마음대로 하세요,entp
787,우리의 이기심 때문에 얘 꿈을 막을 순 없잖아,entj
789,우아 내가 가는 거야 그러면? 어 이럴 수가 가서 뭐 하는데요?,isfj
791,잘 하는 사람이 있을 거예요 그렇죠?,isfp
792,아 그래? 어떡해 요리 못하는데,isfj
793,엄마가 알아서 다 해줄 거예요,esfp
794,언제 가요? 화장 좀 하고 갈게요,isfj
795,좋아요 좋아요 좋아요,isfp
797,화장한 거 아니에요 지금?,istp
798,화장이 엉망진창이라서요,isfj
799,그게 여자의 마음이라는 것이여,esfp
800,애들한테 맛있는 밥 해줘 그러라고 보내는 거니까  맛있는 거 해줘 혼내줘,entj
801,요리 잘 하시는 분이 오길 바래요,isfj
803,네 안녕히 계세요,isfj
804,어 좋으시겠 어떡해 죄송해요 제가 가위바위보를 져가지고,isfj
805,우리 인재를 보냈어 맛있는 밥 맥이려고 너네,entj
806,죄송해요 죄송해요 제가 와가지고,isfj
807,ISFJ 님이네 안녕하세요,intp
809,죄송합니다 가위바위보를 졌어요,isfj
810,아이 괜찮습니다,enfp
811,그럼 저희는 대기하면 되나요?,entj
812,네 그렇기는 한데,isfj
813,아니에요 도와드릴 거예요,entj
814,괜찮은데 근데 맛이.... 없을 거 같아가지고...,isfj
815,같이 만들어요 같이 만들고 오더를 내려주면 돼 분배를 해서 저희한테 오더를 주시면 그럼 그럼 저희가 따다닥 해가지고 밥을 좀 더 빨리 먹고 막 할 수 있겠죠?,entj
816,조수를 뽑을게요 제 조수예요,isfj
817,오케이 알겠습니다,entj
818,저는 지켜볼 테니까 오더를 내려주세요,isfj
819,아니 이게 아 오호라 오라메디~,entj
820,안녕하세요~ 안녕하세요 안녕하세요~,entp
821,우와 우리가 가장 바라던 사람~~,esfp
822,좋아요 그러면은,entp
823,셰프만 세 명~~,estj
824,저는 그냥 앉아 있으면 되죠?,istp
825,또 누구 계신가요?,entp
826,여기 밀푀유나베 경험자들,estj
827,응원이나 합시다,istp
829,지금 바로 시작하면 되나요?,entp
830,도와줘야 될 거 같은데?,estp
833,이게 저기에 너무 많은 사람이 있으면 좀 불편하더라고요,estp
834,그래 오히려 이게 더 복잡하고,istp
835,저희 청소를 하죠,estp
836,청소할게 없는데?,istp
837,여기 근데 청소했어요? 대청소?,estp
839,우리 다들 벌칙으로 레몬 먹기 할까?,enfp
840,나쁘지 않지 재미있어 아주 좋아,entj
841,여러분들 손 씻었나요~? 손 씻을게요~,entj
842,셰프님 너무 잘 도와주고 계시네요,intp
843,제가 제일 할 일이 없네요 이렇게 시키고 나니까 이게 되게 뭔가 좀 민망하네?,isfj
844,그게 바로 능력이죠,intp
846,이거요? 하나 따실래요?,infj
847,딸기 먹을래요?,esfj
848,어 먹어도 돼요?,isfp
849,하나 먹어도 돼요 큰 거 그냥 먹어도 돼,esfj
851,먹어도 돼요 남아 남아 어차피,esfj
852,그럼 같이 나눠 먹어요,isfp
853,그냥 먹어요 저도 먹을게요 하나,esfj
854,왜 이렇게 작아,istj
856,아니 아니 봉지 봉지 봉지,istj
857,제가! 제가 작고 싶어서 작은 게 아니라고요 진짜!,entp
861,그러네? 나만 하네?,entp
862,이야~ 이거 혼자서 만들 수 있는 요리가 아닌데?,intp
864,"우리가 조금 이기적인 사람들이라서 ""아 예 셰프님 혼자 완성해 주세요"" 했으면은 우셨을 거 같은데?",intp
866,아니야 진짜 그렇게 하셨어도 괜찮아요,isfj
868,전 진짜 혼자 하는 줄 알고 왔는데?,isfj
871,S 무슨 이야기 했어요? S 무슨 이야기 했어 그러니까 갑자기 궁금하다,entj
872,음 무슨 이야기했지?,isfj
873,막 토론하고 서로 싸우고 울고불고 했어?,entj
875,무슨 이야기 하셨,isfj
876,우리는? 우리는 뭐 울고불고 했어 그러고 나서 다시 잘해보자 파이팅 외치고서 다시 시작했지,entj
877,저도 울기는 했는데 근데,isfj
878,엉? 울기는 했다고?,entj
879,네 근데 그분들 때문에 운건 아니에요,isfj
880,진짜 울었다고?,enfp
882,저도 울었어요 근데 괜찮아요,intj
883,근데 토론하다가 운 건 아니에요,isfj
884,개인기 하기 싫어서 짜증 나서?,entj
886,어 아니에요 아니에요,enfj
887,죄송해요 아이고 어떡해 너무 슬퍼,isfj
888,불편했던.. 분은 개그맨.. 너무 재밌으셨는데 약간... 밝.. 발랄하셔서 좀... 어려웠어요... ,isfj
2,저도 울기는 했는데 근데,isfj
3,엉? 울기는 했다고?,entj
4,네 근데 그분들 때문에 운건 아니에요,isfj
5,진짜 울었다고?,enfp
7,저도 울었어요 근데 괜찮아요,intj
8,근데 토론하다가 운 건 아니에요,isfj
9,왜 왜 울었어요?,enfp
10,개인기 하기 싫어서 짜증 나서?,entj
12,어 아니에요 아니에요,enfj
13,죄송해요 아이고 어떡해,isfj
15,천천히 받았던 잔잔했던 물결의 스트레스가 쓰나미처럼 온 거니깐 당연히 무너질 수 있다고 생각하고 근데 이해는 하지만 공감하지는 못한다,entj
16,신경을 쓰긴 했지만 그래서 주제를 돌렸죠 같이 계신 분들이랑 오히려 그럴 때 말을 계속하면 불편해하시는 것 같아서,enfj
17,사실 저로서는 일단 궁금증이 사실 크긴 했죠 그러니깐 어떤 부분이 힘든지 구체적으로 말을 안 해주시고 좀 많이 슬퍼하셨는데 좀 위로를 못 해주겠더라고요 그래서 그냥 그렇다고 무작정 위로는 못 하겠고,intp
18,어떤 상황인지 모르는 상황이라서 되게 미안하기도 하고 안 슬펐으면 좋겠다고 생각했어요,infp
19,일단 당연히 뭐 걱정이 되고 이런 건 있지만 어떻게 할 수 있는 부분이 아닌데 거기에 너무 마음을 쓰시는 게 보여서...,intj
20,저도 근데 그런 걱정을 여기 오기 전부터 계속 했었던 터라 그게 좀 많이 공감이 되더라고요 그래서 마음도 좀 아프고,infj
21,저도 가끔은 진짜 정말 아무 이유 없이 여러 이유들 때문에 울고 싶을 때가 있었던 적이 있어서 찾아갈까도 고민했는데 그것도 부담스러워하실 것 같아가지고,enfp
23,왜 우는 걸까?,intp
25,힘들 수 있어요,intj
27,환경 자체가 조금 부담이 되는 거 같아요,enfj
28,낯설어서? 어 그럴 수 있지~ ,enfp
29,너무 폐쇄적이기도 하잖아요 이런 부분이 안 맞을 수도 있는 거니까,enfj
30,새로운 사람들이 그러고 또 저거 때문에 투표 때문에 좀 많이 스트레스 받는 것 같아요 말했던 것 같아,infj
32,투표 어떻게 받았는데?,enfj
33,아침에 그러니깐 아무 표도 없었는데 그냥 되게 부담감이 좀 큰가 봐요,infj
35,누군가를 선택하고 싫어하는 게,entj
36,그게 미안한 걸 수도 있겠다,enfp
37,오~ 그럴 수 있겠다,entj
38,그래서 다 이입이 감정이입이 되는 거구나,enfj
39,자기가 호감도.. 너무 존재감이 없었나? 이런 말도 많이 했었고,infj
40,본인이 약간 지목을 안 받는 거에 대한 그런 두려움도 되게 크신 것 같아요,intj
41,불호를 받으면 어떡하지라는 마음도 심하시더라고요,infj
42,그럴 수 있겠다,enfj
43,마음 너무 여리다,enfp
44,그럴 수 있지만 이게 다 훈련이라고 생각해,entj
45,오빠 이해 안 가잖아 솔직히,enfp
48,아니 이해는 되지 이해는 돼,entj
50,이거는 E랑 I랑 그렇게 막 그게 없나봐,istp
54,아휴~ 힘들어 지쳤어ㅋㅋ,isfj
55,나 진 다 빠졌어,isfp
56,아 진짜? 너무 귀여워요 나 진짜 죽을 뻔했어 귀여워서,isfj
58,어떻게 그럴 수가 있어요?,isfj
59,나 지금 사라지고 싶어,isfp
60,아니야 진짜 팬 엄청 많아질 거 같아,isfj
61,아니야 나...,isfp
62,"미쳤어 다 엄마 미소, 아빠 미소였다고",isfj
63,엄마 보고 싶다,isfp
64,진짜 나 근데 너무.. 진짜 집에 가고 싶어 생각보다 힘드네요 근데 우리를 힘들게 한 건 아닌데 여기서,isfj
65,몸이 힘든 것도 아니고 마음도 그렇게 막 크게 힘든 건 아닌데,isfp
66,어 맞아! 그냥 이 단절되어 있다는 그 사실과 낯선 사람들이랑 있고 이런 게 좀 적응이 안 되고 외롭다 해야 되나? 알던 사람들이랑만 계속 어울리던 버릇이 있으니까 낯선 사람이랑 있는 거 자체가,isfj
67,언닌 여기 나가서 제일 먼저 핸드폰 빼고 뭘 하고 싶어요?,isfp
68,강아지 만나기 진짜 아까부터 계속 그리웠어,isfj
70,소중함을 느꼈어 눈물 날 것 같아,isfj
72,아니야 괜찮아 진짜 괜찮아요 진짜 괜찮아요 진짜,isfp
73,그래도 미안 내가 언니인데,isfj
74,아니야 뭐가 중요해 그게 나이가 뭔 상관이야,isfp
76,잠깐 혼자 있을게요 고마워요,isfj
77,괜찮으니까 천천히 와도 되니까 너무 부담 갖고 그러지 않아도 돼요,infp
79,T VS F로 말싸움하기,istp
82,진짜 F 울릴 수 있지 않을까요?,estj
86,진짜 울릴 수 있을 것 같아요 그러니까 막 뭐라 하는 게 아니라 그냥 하다 보면 눈물 글썽여질 것 같아,estj
87,그럼 T 있는 방에 F 한 명 들어와서 토론회 하기,istp
88,아! 8 대 1로?,entp
90,그게 왕따 아닌가요?,estj
92,F 일곱 명에 T 한 명 가가지고 T 한 명이 F 다...,istj
93,말벌이랑 꿀벌 아니야,istp
94,말벌! 비유 적절하다 진짜,estj
96,일단 F 같은 경우는 말을 하고 싶은 게 있어도 이게 말발이 딸려서 우는 게 아니라 감정이 북받치다 보면은,esfp
98,이건 참아야 해 일단,isfp
99,이거 때문에 말을 못 하는데 T는 그런 북받쳐오는 슬픔.. 슬픈 감정? 울 것 같은 감정 없어요?,esfp
100,있는데 내 감정보다 사람들을 이해시키고,istj
102,이걸 설명하는 게 더 먼저예요,istj
103,맞아 맞아 그렇지,estp
104,근데 이게 어느 순간 이게 되게 사람이 차분해지면서 '저걸 조져야겠다'라는 생각으로 내가 손해 보는 게 싫거든,entp
105,논리적으로 조져야겠다,istj
106,화가 난 게 아니라 진짜 들어줄 건데,estj
107,어 맞아요 진짜 들어줄 건데,istj
108,진짜 울지 말고 하란 말인데 이제 보통 느끼기엔 화내고 있는...,estj
110,"여자친구, 남자친구인데",esfp
111,어..싫을 것 같아 벌써 싫어 잠시만 여자친구가 왜 저래,estj
113,여자친구가 집에 놀러 왔는데 딱 들어오자마자 양말도 안 벗고 그냥 그대로 침대에 누웠어,esfp
114,누웠어? 이미?,estj
115,어 이제 그 다음 상황,esfp
117,근데 나도 그거 너무 싫어,entp
118,"씻고, 씻고 자~",estj
120,아니 씻고 와~,estj
121,피곤해 하 X발 피곤해,istp
123,"내가 이제 상황을 정확히 줄게 ""11시에 나 이제 잘게"" 그랬는데 새벽 5시 반에 취해가지고 ""나 이제 집 들어가"" 잘못 카톡을 해놨어 그런거야",entp
124,보낸 건 맞아? 아니면 딴 여자한테 보낸 걸 잘못 보낸 거야?,estj
125,아니야 아니야 여기에다가 보낸 거야,entp
126,잘못 보낸 것도 아니네,estj
127,"완전 취해가지고 ""아이 그래도 여자친구한테 연락은 해야지""",entp
128,다음 날 아침에 이제 조져,estj
129,다음 날 아침 나 한 이제...,esfp
130,다음 날 오전에 만나기로 했어,entp
131,만나기로 한 상황까지?,esfp
132,만나기로 했는데 10시에 연락을 안 받아 가지고 남자친구 집까지 찾아간 거야,entp
133,이렇다니까 이렇다니까,estj
141,만약에 이제 앞에서 여자친구분이 다른 방송인이나 좀 그런 사람 칭찬할 때,estj
143,그러니까 어 이 사람은 재밌던데?,estj
144,그냥 진심으로 하는 건 괜찮은데 일부러 질투 유발하는 거면 너무 싫지,istp
145,일부러 그냥 얘 짜증 나게 하려고 건드리려고?,istj
146,거기서 이제 나도 똑같이 해,istp
147,어차피 그 의도는 다 보이니까?,istj
148,뭘 뭐라고 해요? 똑같이?,estp
149,나도 너 친구 이쁘던데? 뭐 이런거?,estj
150,그런 식으로 맞장구치는 거지,istj
151,근데 이게 상대가 그렇게 하면 그렇게 하는 게 도리라고 생각하는 거 같아요,estj
152,네 딱 그냥 받은 만큼 되돌려주는 거지,istj
153,보통 질투 유발시키는 애들은 보통 다 F임,istp
154,그러면 난 그냥 가만히 있는데 그렇지 않아요? 그렇게 질투 유발을 내가 먼저 했어도 그렇게 또 다시 이렇게 또 질투 유발 오면 그때 이제 말 못 해 나는,esfj
155,귀엽게 질투 유발하면 귀엽지 않을까요?,isfp
156,야 니 친구 예쁘더라 내 스타일이던데?,istp
158,어! 저 막간을 이용해서 질문드릴 게 있는데 본인이랑 똑같은 MBTI랑 사귀고 싶은 사람 있어요?,esfp
162,근데 나는 나랑 똑같은 사람 만나고 싶은데?,estp
165,왜요? 뭐가 더 좋을 것 같은데요?,istj
166,근데 일단 제 MBTI가 논리적인 거 좋아하고 그다음에 패션이나 이런 거 관심 있어 하는데 근데 제가 호감 가는 여자도 약간 논리적인 거,estp
167,논리적이고 센스 있고?,istj
168,약간 좀 지능 있고 지능이 있다는 게 아니고 지능이 좀..,estp
170,그러니깐 조금 더...,estp
171,아~ ESTP가 아니면 능지가 딸린다?,entp
172,아니 아니 그게 아니고 그게 아니고 저는 그러니깐 저랑 대화 수준이 안 맞는다 하면 못 만나요,estp
173,근데 그게 진짜 중요해,entp
174,핀트가 자꾸 안 맞으면 논리적이지 못하거나 그러면 저는 못 사귀어요 사귀다가도 헤어져요,estp
176,여기 앉아서 구경해요,entj
178,구경해요~ ISFJ 님,intp
180,원래 셰프는 원래 위에서 보는거야,entj
182,그럼 그럼 맞지 맞지,intp
183,아 감사하긴~이따 돈 받을건데,entj
185,제가 설거지할게요,isfj
186,이거 설거지 내기,enfp
187,아 그러면 제가 같이 할게요,isfj
188,가만히 있고 2만원씩 달라고,entj
189,원래 세상에 설거지하는 셰프는 없어요,intj
192,이거 근데 치우고 가야 하는 거 아니에요?,estj
193,이것만 정리하고 갈까요?,entp
197,옆에 안 가세요?,enfj
198,이쪽으로 넘어오실 거라는데?,enfp
199,다 같이? 아~,enfj
201,넘어오신다고 하니깐 이제,isfj
202,네 도망가야 돼요,infj
203,근데 확실히 난 이 방이 편하다,entp
207,따라 해보고 있는데,enfp
208,오늘 장기자랑으로 이거 하셨다면서요,esfj
210,어ㅋㅋ 그냥 이거 만들어주셨어,enfp
211,엄청 귀엽다 이거 어떻게 하는 거야?,esfj
212,바느질하는 남자 아주 섬세해 보이더라고,enfp
218,으 힘들어 아이구 허리야,isfj
220,어 깜짝이야! 아 깜짝이야 깜짝이야!,isfp
222,아 나 분명 아 내가 아까 문 닫은 적이 없는데 문 닫혀있지? 했는데 아무도 없네? 했는데,isfp
223,슬그머니 와서 누워있었어,isfj
224,언니 어땠어요?,isfp
227,비호감 투표 받을 거 같아요,isfj
228,왜 왜? 그럴리 없어 왜?,isfp
229,아니야 진짜...,isfj
230,롤플레잉을 아주 재밌게 했다고~?,istp
231,근데 진짜 웃겨요,esfj
232,한번 보여줘 너무 재밌어 너무 재밌어,estp
233,두 분 두 분! 두 분 앉아가지고 한 번만 해보면 안 돼요?,entp
237,둘이 둘이 한번 해봐 둘이,estp
238,억텐으로는 내지,entj
239,샘플을 보여드릴게요,esfj
240,아니 (롤플레잉) 하면서 화 잘 내요?,istp
241,화? 그냥 웃기려고 내는 거지 진짜는 잘 안 나,entj
242,진짜 화 잘 안 나요?,istp
243,아니이~ 속았어 속았어 그 개그맨 분 있잖아요 그 분이 아 그 방은 뭐 무슨 일 없었어요? 우리 방은 얘기하다가 막 울고불고 난리도 아니었어요 이러는 거예요 그래가지고 아 진짜요? 왜요? 이랬더니 그냥 얘기하다 보니까~ 눈물도 흘리고 막 그랬어요 이러는 거예요 그때 나 갑자기 동질감 느껴져서 저도 아까 울긴 울었어요 이랬거든요? 갑자기 다 같이 어어~ 이렇게 하는 거예요 근데 뭔지 알죠 그거 들으면 더 슬프잖아요 그래서,isfj
244,더 눈물 나 맞아 맞아,isfp
245,어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 별 일도 아닌데 그래서 그때부터 갑자기 진짜 폭풍 눈물이 나는데 감정 컨트롤이 안되는 거예요,isfj
246,아까 전에 못 참았잖아요 언니가,isfp
247,내가 원래 우울해가지고...,isfj
248,아니야~ 절대 그런 거 없어 아니야 아니야 무슨~ 무슨 언니가... 하나도 안 우울해,isfp
249,또 나를 숨겨주네,isfj
251,둘이 만난 지 일 년 됐어 일 년 돼가지고 이제 남자친구가~ 남자친구가 여자친구 데리고 어디 좋은 데 데려가려고 저기 시그니엘 가가지고 인 당 20만 원짜리 코스요리를 먹었어 근데 코스요리를 먹는데 오빠가 저기 여기 김치 없어요? 공깃밥 있어요? 막 이런 거야,entp
252,시그니엘 가서?,entj
253,시그니엘 가가지고 저 공깃밥 있으면 하나 주세요!,entp
254,야...ㅋㅋ 야 나도 누울 자리 볼 줄 아는 사람인데 거기 가가지고...,entj
255,아니 근데 그때 마침 분위기가 좋아가지고 오빠가 웃기겠다고~,entp
256,나 급발진을 한 거구나~ 븅X같이~,entj
257,근데! 거기에서!,entp
258,그럴 수는 있지!,entj
260,근데 그게 왜 그랬냐면은 거기에서 종업원이 오빠를 알아봤어~,entp
261,또 신났구나~ 또 알아봐가지고~ 못 알아봤으면은 거기서 안 나댔는데!,entj
262,근데 여자친구가!,entp
263,아 상황이 개 디테일하네~,entj
264,이렇게 방에서 대화하는 건 안 담았으면 좋겠어 진짜 방에서 대화하는 건 내보내지 마세요! 부탁드립니다! 근데 이게 여기까지 찍히나 이 각도가?,isfj
266,그렇게 설정을 해 놨으려나?,isfj
267,나 이미 엉덩이 뜨고 얘기 듣고 있다 이만큼 뜨고 듣고 있어 어 얘기해 봐 나 어화둥둥이야 지금 날 알아봤어~,entj
268,근데 남자친구가 위에 이제 객실까지 예약 다 해놓고 근데 여자친구가,entp
269,간다는 소리는 안 하겠지 갑자기,entj
271,아니 여자친구가 창피한 거야 계속 먹는 내내 틱틱거렸어 근데 인제 계산까지 오빠가 한 40만 원 결제하고 우리 이제 거기 전망대 보고 객실 올라갈까? 이러는데 표정 굳어있으니까 근데 너 표정이 왜 그래? 시작!,entp
272,아 그것도... 아이 그걸 또 몰라 나도? 나 너무 눈치.. 모른다고? 나 아는데 난... 난 이미 눈치 알아! 이미 아는데 모르는 척하는 거겠지,entj
273,어 근데 여기가 괘씸해가지고 한번 물어봤어,entp
274,상황극을 해야 돼요,estp
275,어 레스토랑 앞이야 나왔어,entp
276,맛있어? 하나만 잡았지~ 잡았지~ 잡았지~ 냠~,entj
280,그리고 내가 그때 ISFJ 대표로 나왔잖아요 ISFJ들이 이렇게 울보는 아니거든요?,isfj
282,아니야 진짜로 그 그거 읽어보면 이렇게까지 울보는 아니고 뭔가 씩씩하고 끈기가 있고 인내심이 강하고 그러고 배려를 잘하고 막 이런 느낌인데 내가 지금 여기 와서 계속 울기만 하고 막.. 요리도 못하고 이러니까..,isfj
283,그게 그게 무슨~,isfp
284,미안해 난 이 ISFJ한테 미안해 내가 이런 대표라는 게,isfj
286,그래서 너무 자괴감들어,isfj
287,저 휴식 시간에 잠만 잤어요~,isfp
288,근데 ISFP에 맞아요 아니 ISFP는 막 잠만 잔다 그래가지고 잠만보래요 그래서 차라리 내가 ISFP였으면 진짜 잠만 잤을 거야 캐릭터에 맞게,isfj
289,아냐 나 캐릭터에 맞게 움직이지 않았어~,isfp
291,오늘! 좋았다~ 내일은 내일은 내가 열심히 해볼게 나 오늘 굿 리스너 모드였거든,entj
292,나도 내일 한 마디도 안 할라고,istp
293,아니 왜냐면 왜냐면 그 싫어요 두 개가 살짝 날 위축되게 만들더라고,entj
294,근데 어제보단 확실히 어제보단 달랐어,enfj
295,많이 들어주려고 했어,entj
296,어제보단 조금 많이 계속 듣고 리액션을 했지,enfj
297,빨간 거 두 개가 생각보다.. 날 구속시키더라고,entj
298,내일은 더 더 불호만 있을 거야,istp
299,그래서! 그래서 내가 계획을 세운 게 내일도 이렇게까지 했는데 빨간 게 생긴다 난 아래를 찍어볼 생각이야 그래서,entj
300,부탁해요! 지짜루 그거 잔인해요~,isfj
301,누구보고 말하는..,isfp
302,내일은 또 옮기나? T끼리?,istp
303,그니까 내일 한번 보겠고만 내일 한번 보겠어,entj
304,어? 내일 T!,istp
306,F? F예요?  F T F 와 그럼 F들은 모여서 뭐 하나? 하하 호호 하면서 이제 그냥,istp
307,감동적인 영화 볼게요,esfp
308,그냥 서로 감상들에 빠져가지고,istp
309,그렇게 간다구?,enfj
310,너 그냥 이제 막 가기로 한 거야?,entj
311,누워있지 뭐야 왜 앉아있어요? 눕는 거 좋아하잖아 두통에 좋아 두통에,isfj
312,저 누워있는 거 아니야~ ISFP라고 다 누워있는 걸 좋아하는 게 아니에요 저 누워있지 않고 기대있는 거지!,isfp
313,내가 편견이 있네 편견이~,isfj
314,나 지금 기대..! 누워있는 거 아니.. 기대있는 거예요 살짝..! 반 앉아있는 거죠~ 저는.. 많이 누워있지 않아요~ 누가 누워있,isfp
315,원래 이런 걸까요 성향이?,isfj
316,아니 근데 그냥 아까.. 말하고 싶은 게 절대 우울한 사람이 아니라 행복한 사람이야,isfp
319,가야 돼 엉엉엉,esfj
320,아 이제 시간 되니까?,enfj
322,아까 있던 데로?,enfj
323,지금 우리 만난 이래로 제일 조용한 것 같아요 사람 있는데 기가 빨렸나 봐,entp
324,준비하는 거지 이제 어우 좋다,enfj
326,누구부터 가실래요?,estj
328,이쪽부터 이렇게 아 어어,esfp
329,갔다오세용 나머지는 마술이나 하고 있죠,estj
331,저 한번 해볼래요,isfp
332,아 또 다른 거 해드릴까요 이제?,estj
336,호감이라고 생각됐던 MBTI는! ISFJ입니다 저랑 앞 글자만 다른 사람이 나랑은 얼마나 잘 맞을까? 혹은 얼마나 안 맞을까를 오늘 좀 많이 좀 볼라고 노력을 했던 것 같은데 근데 마침 또 같은 방에 배정이 되어서 저는 너무 좋았던 것 같아요 좀.. 친해지고 싶은 사람이다?,esfj
337,댄서 분이 ES.. TJ 맞나요? 그분이요 그분이 제 구독자시라고 하면서 계속 저한테 제 영상 잘 봤다면서 제 영상 후기를 하나씩 알려주셨는데 너무 감사했어요,isfj
338,ISFJ분! 굉장히 얘기를 많이 했고 그냥 그런 성격 물론 되게 조용하시고 내성적이셔서 뭔가 밖에서 만나면 힘들 것 같지만 그냥 그런 사람이 인기도 많을 것 같고,estj
339,저~랑! 거의 비슷하신 ESTP! 저도 되게 똑똑한 사람을 좋아해가지고 되게 그냥 사람이 여유 있어 보이고 뭐 그렇다고 해서 되게.. 막 거들먹거리거나 이런 것도 아니고 음 되게 잘 웃고 뭐 다른 사람들도 잘 받아주고 이래가지고 저는 되게 그분 좋았던 것 같고,istp
340,ISTP인데 가장 재밌었어요 저랑 E랑 I만 빼고 나머지가 다 똑같은 케이슨데 논리적인 말을 할 때도 되게 재밌었고 나머지 파트에서도 상황극도 되게 잘해주시고 그리고 낄 때 딱 껴주시고 빠질 때 딱 빠져주시는 게 가장 재밌었습니다,estp
341,INFJ님입니다 되게 조용히 남들을 관찰을 하는 거를 제가 봤는데 되게.. 인상 깊었고! 배려심 가득한 MBTI라고 생각을 했습니다,entp
342,그래도 가장 솔선수범하고 또 옆에서 그런 부분을 많이 보여주셨던 ENFJ님!,infj
343,ISFJ분이 오늘.. 그냥 얘기 들었던 내용들이 있는데 그걸 듣고 나니까 그냥.. 자연스레 그쪽으로 좀 신경이 쓰여서,enfj
344,ENTJ! 저를 많이 챙겨주신 것 같아요 제가~ 좀 적응을 잘 할 수 있게 같이 보드게임을 많이 해주려고 하셔가지고 많이 편하고 좋았구요,intp
345,INFP인! 그 쵸단님! 제가 하는 노력이 성격을 바꾸는 노력보다는 애티튜드에 대한 노력이었는데 성향을 좀 바꾸려고 하는 노력하는 모습이 너무 멋있다고 생각했어요,entj
346,성격을 바꾸려고 하는 노력하는 모습이 그리고 되게 진지하게... 노력을 하시는 거 같아서 그게 좋았습니다 그래서 INFP님을 뽑겠구요,intj
347,되게 많이 격려해 주신다고 느껴져가지구 하루가 좀 변화한다는 느낌을 받았습니다 그래서 오늘 저는 ENFP 언니,infp
348,INFP 너무 매력이 있으시더라구요 양파 같은 매력이 있는? 전혀 안 그럴 거 같은데 또 새로운 모습이 있고 또 게다가 엄청 긍정적이고 되게 예의도 엄청 바르시고,enfp
349,호감 MBTI로 ISFP님을 뽑고 싶습니다 오늘 이야기를 해 보니까 너무 많은 부분이 잘 맞는 거예요~ 정말 하나부터 끝까지 다 너무 잘 맞았어요 침대를 세상에서 제일 좋아하는 것도 그렇고,esfp
