MBTI,대사
ESTP,어제는 E끼리만 뭉쳐있다 보니까 E사이에서 약간 I인 느낌? 인듯한 느낌을 받았었는데 오늘은 N이랑 S에 대해 이렇게 따로따로 모여서 I랑도 좀 섞이게 되니까 조금 더 기가 살았다고 말할 수 있을 거 같아요
ISFJ,오늘 하루를 보내보니까 세상에 진짜 너무너무너무너무너무너무너무 다양한 사람이 있는 거 같아서 너무 신기했습니다 이틀이 됐는데도 여전히 불편해요 그래서 집에 가고 싶어요 당황스럽고 울려고 한 게 아닌데 눈물이 나가지고 미안했어요 감사합니다 죄송합니다
,DAY2 BRAVE 종료
,MBTI HOUSE 셋째 날 아침
,Trust : 신뢰
,NOTICE 셋째 날 아침이 밝았습니다 11:00까지 거실로 모여주세요
ESFJ,따뜻한 얘기 하나 알려드릴까요? 제가 어제 여기서 자는 동안 ESTJ 오빠가 이불 덮어줬어요 이불 차고 다니니까... 너무 감동적이었어요 전 자고 있어서 몰랐는데...
ENTJ,안녕~
ENTP,안녕~
ESFJ,어 뭐야ㅋㅋㅋ 귀요미ㅋㅋ
ENTP,잘 잤어~? 뭐 줄까?
ENTJ,그냥 엄마네 엄마가 돼 버렸어
INTP,아하 제가 선택률이 낮은 직업은 교도관
INFJ,어 궁금하다
INTP,성직자 배우가 맞다고?
INFJ,세상에
INTP,연기 잘할 자신 없는데 그러니까 어떤 상황에서 슬퍼하고 눈물을 흘려야 되는데 난 절대 눈물이 안 날 것 같아 살면서도 울어본 적이 별로 없는데 연기를...
INFJ,너무 신기했어요 T들이 울어본 적이 없다는 게 좀 신기했어요
INTP,그러니까 슬픔을 안 느끼는 건 아닌데 눈물이... 
INFJ,표현이 별로 안되는 거죠
INTP,아냐 그것도 아니야 사실 진짜 슬픔도 잘 안 느껴
INFJ,혹시 사이코패스 이런 거 아니죠?
ESTJ,다 왔어요?
ENTP,어? 다 왔어
ESTP,아 우리 다 왔구나
ENTJ,아 진짜 E들은 진짜 빠르다 I는 어떨지 궁금하다 진짜 지금쯤이면 근데 그런 거 없을 거 같아
ESTJ,생각보다 어제도 막 거실에 나와 있는 사람이 더 많았잖아요
ENTJ,그러니까
ENFJ,아 첫날에 비하면?
ENFP,편견이 깨졌어?
ENTJ,편견이 계속 깨지고 있어 솔직히
ESTJ,저 어제 가서 물어봤거든요? I 분들한테 물어봤는데 I끼리 있을 땐 그래도 편하냐 물어봤는데 그것도 달라요 I끼리 있을 땐 편하다 하는 사람 있고 I끼리 있을 때도 불편하다 네 그런 사람도 있고
ENTP,확실한 건 E들 있을 때는 조금 불편한 게 없지 않아 있다는 거네
ESTJ,확실히 불편해 해 힘이 떨어진대요 점점 저희는 직사광선 이런 느낌인 거 같고
ESFP,그럼 I를 날씨로 표현하면 뭐야?
ENFJ,그냥 구름 낀 거 아냐? 해에 가린 구름
ESTJ,노을쯤
ENTP,이게 약간 S의 상상이야?
ENTJ,난 지금 느티나무까지 갔어
INTP,그 여기 올 때 PD님이랑 막 얘기하고 왔잖아요 PD님이 막 나보고 그런 얘기 하더라고 여기서 편히 휴식 취하고 편히 이렇게 놀다 가시면 될 거다
ISFJ,맞아 나한테도 그랬어
INTP,했는데 전혀 공감이 안 돼
ISFJ,저도요 저도요
INTP,아니 여기서 어떻게 충전을...
ISFJ,제 말이 제 말이~
INTP,나한텐 절대 쉬는 게 아닐 것 같은데 근데 뭐가 제일 부담됐어요 여기 올 때?
ISFJ,제 모습이 어떻게 사람들한테 비춰질까 이게 어쨌든 방영이 되고 제 구독자분들이 볼 거잖아요 그분들이 기대했던 모습이 아닌 모습을 보여드리면 좀... 실망하실 수도 있으니까 
INTP,그런 생각 들 수 있겠다
ISFJ,그분들을 실망시킬까봐 가 제일... 부담스러웠던 거 같아요
INTJ,좋아해 주는 사람이 훨씬 많을 것 같은데
ISFJ,그쵸 근데 근데 내가 진짜 잘 했는지 모르겠어 이틀동안... 어저께도 그렇고 그래서 어제 일기를 쓰면서 그래 하지만 내일도 이렇게 하면 더 실망할 거야 하면서 내일은 힘내자 파이팅! 이렇게 쓰고 잤죠
ESTJ,제가...
ENTP,아니야 우리 그거 보러 가야지
ESTJ,어? 투표지 봐야 되지 않을까요?
ENTJ,아 그렇구나
INTP,식료품?
ISTJ,와 버렸어~
INTP,식재료가 왔!어요
ISFJ,뭐 시켰는지 기억이 안 나
ISFP,우와 우와 포도다
ESFJ,나왔어?
ESTJ,늘었어!
ESFJ,평타 쳤어!
ESTJ,형 늘었어!
ESFJ,없어! 비호감 없어!
ESTJ,안녕하세요~
ISTJ,안녕하세요~
ENFP,하이~ 굿모닝~
ENTJ,나 삐뚤어질 거야
,"* 호감도 투표 시, 불편했던 혹은 잘 안맞았던 MBTI를 선택할 수 있다."
ESTJ,여기 하나 생겼어
ENTJ,누구야! 야 누구야
INFP,저 아니에요
ESTJ,아무 말도 안 했어요~
ENTJ,정말이야?
ESTJ,오케이! 일단 들어가시죠
ENTP,가자 가자 어? 미션지 있다
ESTJ,나 표 생겼어 개이득이야
ENTJ,내가 얼마나 잘했는데
ESFJ,괜찮아 그럴 수 있어
ENTJ,됐어
ISTP,나 아까 말한 대로 딱 그거네 어제~
INTJ,말했어요?
ISTP,그 새X 누구더라? 그 춤추는 애
,Day-2 record
ESTJ,사람들이 싫어할 수도 있을 거 같아요 충분히 물론 이제 안 그러신 분인 건 알지만 이제 MBTI가! 구라다! 이렇게 말을 하시는데 자기의 신념이지만 그런 것 때문에 어? 왜 나를 이렇게.. 아니라고 생각하지? 라고 생각하면서 비호로 느낄 수 있을 것 같아요 제 비호라기보다는 그냥 사람들 눈에 비호일 수도 있다! 라는 생각으로 골라봤습니다
ISTP,어제 이후로 비호감을 거의 안 하네
INTJ,그런가?
ISTP,아무것도 없구나 이분들은 아직
ISTP,INTJ? 좋으시겠어~
INTJ,뭐가 좋아요ㅋㅋㅋ
ISTP,호감형이라
ENTJ,게임이 아주 재밌어지는구만 어제 굿 리스너의 모드였는데
ESTJ,앉아주십시오
ESFJ,나 읽을래
ENTJ,아주 재미있어 게임이
ESFJ,"첫 번째 미션, T&F 하루 동안 생활할 각자의 소지품을 챙겨서 T, F 방으로 이동을 해야 합니다"
INTP,여기가 T 방이고 저기가 F 방이네요
ISFJ,아 그래요?
ISTP,난 또 이동 안 한다
ISFJ,저기가 F 방이래요
INTP,(ISTP님) 한 번도 이동 안 하는거 아니야? INFP님 호감 늘었던데요
INFP,그니까요
INTP,"4표 됐어요, 4표 "
INTP,전 하나도 없어요
INTP,우리 ENTJ님 제가 비호감 찍었는데
INFP,아 진짜요?
INTP,눈치 못 채시더라고요
ISFJ,아 진짜요? 누군지 엄청 찾고.. 누구야 이거!
INTP,찾고 있는데 나인지 눈치챌라나 했는데 보니까 모르더라고
ISFJ,왜 또 찍었어요
INTP,어제 게임하는데 하도 갈구길래 짜증나가지고
ISFJ,무섭다 잘보여야겠다 아 무서워
,Day-2 record
INTP,그런데 어... 제가 보드게임 못한다고 너무 놀리더라구 계속 나보고 바보라고.. 한두 번까지는 재밌었는데 계속하니까 살짝 짜증나더라구요 그래서 호감도 ENTJ 비호감도 ENTJ
ENTJ,"맞아, 정말 맞아 난 악해 나 오늘 나쁜 짓 해야 돼 이러면 아줌마들이 뒤에서 이렇게 춤추고 없어ㅋㅋ"
,NOTICE 지금 즉시 MBTI T 와 F를 기준으로 이동해주세요 점심식사를 한 뒤 13:30까지 각 방의 거실로 모여주세요
INFP,어디가 T 지?
ISTP,여기가 T
INFP,왜 맨날 가야 돼?
ISTP,내일도 가야 돼 참고로
INFP,"아, 진짜요? "
ISTP,내일은 저쪽이 P거든
INFP,왜죠?
ISFJ,어떻게 알아요?
ISTP,순서를 내가 분석을 해봤어요
INFP,아~
ISFJ,아~
,T방 Thinking : 사고형 사고를 선호하는 사람들은 의사결정 시 선택이나 행동의 논리적인 절차를 보는 경향이 있다. 상황에서 떨어져 객관적으로 장점과 단점을 파악한다.
,F방 Feeling : 감정형 어떤 방식으로 결정을 내리는가? 감정을 선호하는 사람들은 의사결정 시 자신 그리고 관련된 사람들에게 중요한 사항을 고려한다. 사람들의 상황이나 특성을 고려하여 판단하거나 결정한다.
ISTJ,그 형님도 오시지 않아요?
INTP,아 ENTJ님 비호감표가 또 늘겠죠
ESFJ,근데 나 호감 하나 받고 싶어 나 아직 아무것도 없다고 근데 사실 비호감만 안 받으면 나는 진짜 감사할 것 같아
ENFP,근데 비호인 사람들은 확실히 이렇게 좀.. 이렇게 한 사람들인 것 같아 
ESFJ,맞아 호감이 많을수록 비호도 많아
ENFP,어 맞아
ESFJ,되게 신기해 어 나는 그래서 나 인터뷰 때도 그 말을 했던 게 평타치고 있는 거 같아서 좋다고 그냥 두루두루 잘 어울리는 그 묻어가는 성향인 거 같아서 너무 좋다고 불호도 없고 호도 없는 게 난 그런 느낌인 거 같아서 좋다고 얘기했어
,F방 Feeling : 감정형
INFP,안녕하세요
ISFP,안녕하세요
ESFJ,왔어요~
,T방 Thinking : 사고형
ENTJ,안녕하세요 우리 오늘 젠틀하게 한번 잘 지내봅시다 오늘 하루 오늘 또 하나가.. 비호감이 늘어서
ISTP,오늘 한번 조용히 해봐요 그럼
ENTJ,그럼 조용히 하면 또 달라질까?
,F방 Feeling : 감정형
ESFJ,누가 설거지 좀 도와주세요
ENFP,어머 다 몰려왔어 자 가서 우리 쉽시다
ENFJ,일단 저희 그럼 같이 앉아요 저희 뭐 안 하니까
ENFP,이리 오세요 이리 오세요
ENFJ,어제도 그랬어요 어제도..
ENFP,커몽 커몽 어~ 커몽 커몽
,T방 Thinking : 사고형
INTP,도와드릴 거 없을까요?
ENTP,라면이면 라면 잘 끓이는 분이 해주시면 안 돼요?
ENTJ,나 잘 끓여
ENTP,그러면 전 오늘은 조금 쉬어도 돼요?
ENTJ,어 쉬어 그냥 둘이 할게 너무 많아 사람이
INTP,넵!
ENTJ,둘이 할게
,F방 Feeling : 감정형
ENFP,근데 F들끼리 모이니까 F 같다
INFP,맞아 뭔가 따뜻한 느낌!
ENFP,뭔가 달라
ENFP,어 맞아 맞아
ISFJ,맞아
ISFP,여기 누가 써요 여기 방은?
ENFP,나랑 ENTP님
ISFJ,잘 때도 열고 주무세요?
ENFP,잘 때는 닫고 
ESFP,잘 때 닫아야지
ISFP,뭔가 다르다 여기
ESFP,어 여기는 남자 두 명.. 저기는 그럼 여자 두 명이겠네
ISFP,예 맞아요 맞아요 맞아요
ENFP,아 그러네
ESFP,어떡해
,T방 Thinking : 사고형
ISTP,뭐야 여자가 혼자예요?
ISTJ,뭔 소리야
ISTP,아니 우리여가지고 그.. 착각했어
ISTJ,기분 나빠요
ISTP,두 명이네요 그럼 두 명이네
ISTJ,네
ISTP,T가 별로 여자가 없나 보네
ENTP,그러면 저기는 남자가 두 명이네
ISTP,우와
ENTP,가던가 가던지
ISTJ,부러운가 봐 여기가 싫은가 봐 어떡해
,F방 Feeling : 감정형
ENFP,F 남자들이 스윗하네 아이 좋다 아이 좋다
ESFP,F 남자 최고야!
ENFP,잘한다 잘한다
ESFP,우리 아빠가 F 남자거든
ENFP,귀여워
ESFP,부모님 MBTI 아는 사람 있어요?
ENFP,어...우리 아빠는 F 엄청 잘 울어
ESFP,우리 가족 다 F더라고
ENFP,우리 우리도 다 F인 거 같아
ESFJ,우리 INFP 님 잠깐 지문 좀 도와주실게요 지문이
INFJ,됐다!
ESFJ,어 됐어! 됐어!
ENFP,INFP 님 말만 듣더라고 쟤가
INFP,또 도와드릴 거 있나요?
ESFJ,괜히 괜히 일어났네 아유.. 죄송
ESFP,어떡해 나 오늘 그냥 너무 편해
ENFP,아 좋다 좋다
ESFP,난 E한테 기 빨리는 게 아니라 T한테 너무 기가 빨렸어
ENFP,그럴 수 있어 맞아 그럴 수 있어
ESFP,울 것 같아 편안해서
,T방 Thinking : 사고형
ENTP,F들은 어떤 얘기 하고 있을까?
ISTP,지금 다 어떡해 밖에 안 하고 있지 뭐..
ESTJ,"그거 있잖아 강아지 얘기 하면 ""맞아 어떡해"" 막 이런 거 있어 우리는 ""맞지"" 하면서"
ISTP,나 거기 가서 한번 또 들쑤시고 싶네
ENTP,여기 자리 바꿀 때?
ISTP,"""뭘 어떡해!!"""
ISTJ,오늘은 가위바위보 하지 말고 여기 보내 그냥
ESTJ,다음 날 비호 개 찍혀 있다고 진짜 다 찍혀 이거
ISTP,근데 0보다는 비호감이 좀 있는 게 난 더 좋은 것 같아
ESTJ,관심이니까
ISTJ,나를 유심히 봤다 이런 의미니까?
ISTP,그래도 관심이 낫지 아니 무플보단 악플이야 원래
ENTP,맞아 무플보단 악플이야
ISTP,그리고 너무 이렇게 호감을 받기 위해 자기 자신을 속여버리면 안 돼 그거는
ISTJ,거짓된 거야 그거는
ESTJ,근데 비호감 3표가 너무 웃겨 절대 아침에 없을 거라고 그랬는데 심지어 오늘 보러 나오지도 않았어요
INTP,들키면 맞을지도?
,F방 Feeling : 감정형
ISFP,집에 가고 싶다
ENFP,집에 가고 싶어? 집에 가고 싶다라는 생각하신 분 있어요?
INFJ,저.. 저는 좀 했어요
ENFP,I들은 다 한 거 같아
ENFJ,아 한 번씩?
INFJ,아 진짜요?
ENFP,나는 그런 생각을 해본 적이 없어서
ENFP,없지?
ESFJ,나도 없는데?
ENFJ,딱히 생각을 안 했어요
ENFP,난 너무 좋은데? 너 집에 가고 싶어?
ESFP,오늘 처음으로 했어 난 여기서 제일.. 기가 없어.. E 중에ㅋㅋㅋ 에너지가..
ISFP,아니 궁금한 게.. 짐 언제 싸셨어요?
ENFP,당일날
ISFP,그쵸?
ENFP,P?
ISFP,네 저도 P
ESFP,어제 했던 이 S랑 N은 별로 막 차이가 크게 나지 않았던 것 같은데 이 남은 이틀은.. 좀 차이가 클 것 같아요
ESFP,저기 두 분 화보 찍으시는 건가?
ENFP,둘이 너무 잘 맞아
ISFP,두 분이 같은... 그 앞에만 빼고 다 같은..
ENFP,근데 진짜 신기하지 않아? 짝지들이랑 생각하는 거랑 뭔가 이 생각하는 회로가 좀 너무 비슷해가지고
ESFP,저희도 회로 정말 잘 맞아요
ISFP,저희 어제 같이 낮잠 잤어요
ENFJ,일단 앉으세요~
ENFP,아 벌써 다 됐구나
,T방 Thinking : 사고형
ISTP,아이고
ESTJ,어 뭐야?
ISTJ,우와
ENTJ,지금 슬슬 먹어요 비빔면 다 되니까
ISTP,어떻게 저희가 또 먼저 먹습니
ISTP,으음~ 으음~ 흐음~ 으어~~ 어우 정말 맛있습니다
ISTP,근데 저는 제가 I가 맞는 게 말 안 할 수 있어요 저는
ISTJ,아니
ISTP,아니 그러니까 말...
ISTJ,그래서 안 했냐고
ISTP,그 E들이 말이 없고 되게 조용한 그 상황을 불편해하잖아요 나는 불편하지 않아 나는 그 어색한 기류가 있는 게 재밌어 나는
ENTJ,나는 우리 이렇게 얘기하다가 뚝 한 번 끊기는 순간 있잖아 그때마다 그냥 짜증 나
ENTP,그거 있잖아 각자마다 자기가 내가 제일 도드라지는 이 글자가 있잖아 뭔 거 같아? 이 네 개 중에 내가 제일 도드라지는 글자가 뭔 거 같아? 오빠는 뭐가 제일 도드라지는 것 같아?
ESTP,나? 나... T?
ENTP,T
ENTP,어떤 것 같아
ISTJ,T
ENTP,맞아 나도 T야 그래서 지금이 나는 3일 중에 제일 편해
ESTP,아~
ISTJ,나는 어제 느꼈어 보니까 첫째 날 둘째 날 하면서 느낀 게 아 약간 너무 극강의 F랑은 내가 감당하기 힘들다 이게 좀 느껴졌어
ESTP,아 진짜요?
ENTP,그래서 나 지금 너무 편해 진짜
ESTP,어제 무슨 일 있었어요?
ISTJ,아니 그니까 일은 없었는데 그냥.. 내가 이제 너무 이제 감성적인 사람한테는 나는 일단 내 경험에 비례해서 공감해 주고 막 하는데 내가 감정이 막 이렇게 격해진 적이 없으니까 공감을 못 해줘
ESTP,아~
ENTP,맞아 맞아 맞아
ESTP,그렇구나
ISTJ,그래서 어떻게 반응을 해줘야 할지 모르겠어
,Day-2 record
ISTJ,아 ISFJ님? 네 ISFJ님이 남들한테 보여지는 거를 되게 신경을 많이 쓰시더라구요 걱정을 많이 하시고 좀 저 주위에도 그런 친구가 한 명 있어가지고 맨날 애기 들어주고 걱정 이렇게 하면은 그냥 공감 해주고 힘들겠다 해주는데 이게 조금 저의 한계라고 느껴지는 게 제가 워낙에 그런 성격이 아니다 보니까 위로해 주는 게 힘들더라구요 공감하는데도 한계가 있고 어 내가 감당할 수 있는 부분이 아니다 라고 생각을 해서 조금 불편한 것 같아요
ENTP,그래서 T들의 공감은 약간 이해를 기반으로 해야 돼
ESTP,그렇지 그렇지 맞지
ESTP,감정적으로 공감이 안 돼
ENTP,이게 F가 없으니까 내가 여기에 신경 써가지고 이렇게 해줘야 될.. 계속.. 상처 줄까 봐
ISTJ,부담감이...
ESTP,맞아
ENTP,지금 너무 편안해
ISTJ,부담감이 없어
ENTP,어 너무 좋아
ESTP,진짜
ENFP,그럼 내가...
ESFJ,나가자!
ENFP,손만 잡았네ㅋㅋ 손만 잡은 걸로ㅋㅋ
ISTP,어 왔다!
ESTJ,빨라
ESFP,세 번째 미션이당
ESFJ,너가 읽어줘
ESFP,우리의 세 번째 미션 데이 쓰뤼 트뤄st 어?
ISTP,지금 즉시 1층 라운지로 모여주세요?
ESFP,1층 라운지 운동 공간 내려가면 또 하나의 미션 봉투가 있습니다 미션 봉투를 먼저 읽어주세요
ISFP,오? 오.. 운동..? 오.. 무서워..
ESFJ,무서워
ISFJ,아 우리는 이분 있어
INFP,네?
ENFP,뭔가 운동 시킬 거 같아서
ESFP,갑자기 가짜 사나이
ENTJ,다 같이 가는 거예요?
ISTP,그건 모르겠는데?
ESTP,나 신발 저기 있는데?
ESTJ,저도 운동화 안 갖고 왔어
ESTP,이거 신고가도 되나?
INTJ,안 가봤죠
INTP,네 운동하기 싫은데
ESFJ,근데 신기한 게 저.. 저 뭐지 미션지에 원래 스마일만 붙어 있는데 오늘은 이거 슬픔도 붙어 있어
INFJ,H님 나오시나?
ESFP,아 싫다
ISFJ,어.. 나 비호감 받아서 나.. 나.. 아령 들으라고 하는 거 아니야? 벌칙 주나?
