,text,mbti,ie,ns,ft,pj
108,진짜 울지 말고 하란 말인데 이제 보통 느끼기엔 화내고 있는...,estj,e,s,t,j
110,"여자친구, 남자친구인데",esfp,e,s,f,p
111,어..싫을 것 같아 벌써 싫어 잠시만 여자친구가 왜 저래,estj,e,s,t,j
113,여자친구가 집에 놀러 왔는데 딱 들어오자마자 양말도 안 벗고 그냥 그대로 침대에 누웠어,esfp,e,s,f,p
114,누웠어? 이미?,estj,e,s,t,j
115,어 이제 그 다음 상황,esfp,e,s,f,p
117,근데 나도 그거 너무 싫어,entp,e,n,t,p
118,"씻고, 씻고 자~",estj,e,s,t,j
120,아니 씻고 와~,estj,e,s,t,j
121,피곤해 하 X발 피곤해,istp,i,s,t,p
123,"내가 이제 상황을 정확히 줄게 ""11시에 나 이제 잘게"" 그랬는데 새벽 5시 반에 취해가지고 ""나 이제 집 들어가"" 잘못 카톡을 해놨어 그런거야",entp,e,n,t,p
124,보낸 건 맞아? 아니면 딴 여자한테 보낸 걸 잘못 보낸 거야?,estj,e,s,t,j
125,아니야 아니야 여기에다가 보낸 거야,entp,e,n,t,p
126,잘못 보낸 것도 아니네,estj,e,s,t,j
127,"완전 취해가지고 ""아이 그래도 여자친구한테 연락은 해야지""",entp,e,n,t,p
128,다음 날 아침에 이제 조져,estj,e,s,t,j
129,다음 날 아침 나 한 이제...,esfp,e,s,f,p
130,다음 날 오전에 만나기로 했어,entp,e,n,t,p
131,만나기로 한 상황까지?,esfp,e,s,f,p
132,만나기로 했는데 10시에 연락을 안 받아 가지고 남자친구 집까지 찾아간 거야,entp,e,n,t,p
133,이렇다니까 이렇다니까,estj,e,s,t,j
141,만약에 이제 앞에서 여자친구분이 다른 방송인이나 좀 그런 사람 칭찬할 때,estj,e,s,t,j
143,그러니까 어 이 사람은 재밌던데?,estj,e,s,t,j
144,그냥 진심으로 하는 건 괜찮은데 일부러 질투 유발하는 거면 너무 싫지,istp,i,s,t,p
145,일부러 그냥 얘 짜증 나게 하려고 건드리려고?,istj,i,s,t,j
146,거기서 이제 나도 똑같이 해,istp,i,s,t,p
147,어차피 그 의도는 다 보이니까?,istj,i,s,t,j
148,뭘 뭐라고 해요? 똑같이?,estp,e,s,t,p
149,나도 너 친구 이쁘던데? 뭐 이런거?,estj,e,s,t,j
150,그런 식으로 맞장구치는 거지,istj,i,s,t,j
151,근데 이게 상대가 그렇게 하면 그렇게 하는 게 도리라고 생각하는 거 같아요,estj,e,s,t,j
152,네 딱 그냥 받은 만큼 되돌려주는 거지,istj,i,s,t,j
153,보통 질투 유발시키는 애들은 보통 다 F임,istp,i,s,t,p
154,그러면 난 그냥 가만히 있는데 그렇지 않아요? 그렇게 질투 유발을 내가 먼저 했어도 그렇게 또 다시 이렇게 또 질투 유발 오면 그때 이제 말 못 해 나는,esfj,e,s,f,j
155,귀엽게 질투 유발하면 귀엽지 않을까요?,isfp,i,s,f,p
156,야 니 친구 예쁘더라 내 스타일이던데?,istp,i,s,t,p
158,어! 저 막간을 이용해서 질문드릴 게 있는데 본인이랑 똑같은 MBTI랑 사귀고 싶은 사람 있어요?,esfp,e,s,f,p
162,근데 나는 나랑 똑같은 사람 만나고 싶은데?,estp,e,s,t,p
165,왜요? 뭐가 더 좋을 것 같은데요?,istj,i,s,t,j
166,근데 일단 제 MBTI가 논리적인 거 좋아하고 그다음에 패션이나 이런 거 관심 있어 하는데 근데 제가 호감 가는 여자도 약간 논리적인 거,estp,e,s,t,p
167,논리적이고 센스 있고?,istj,i,s,t,j
168,약간 좀 지능 있고 지능이 있다는 게 아니고 지능이 좀..,estp,e,s,t,p
170,그러니깐 조금 더...,estp,e,s,t,p
171,아~ ESTP가 아니면 능지가 딸린다?,entp,e,n,t,p
172,아니 아니 그게 아니고 그게 아니고 저는 그러니깐 저랑 대화 수준이 안 맞는다 하면 못 만나요,estp,e,s,t,p
173,근데 그게 진짜 중요해,entp,e,n,t,p
174,핀트가 자꾸 안 맞으면 논리적이지 못하거나 그러면 저는 못 사귀어요 사귀다가도 헤어져요,estp,e,s,t,p
176,여기 앉아서 구경해요,entj,e,n,t,j
178,구경해요~ ISFJ 님,intp,i,n,t,p
180,원래 셰프는 원래 위에서 보는거야,entj,e,n,t,j
182,그럼 그럼 맞지 맞지,intp,i,n,t,p
183,아 감사하긴~이따 돈 받을건데,entj,e,n,t,j
185,제가 설거지할게요,isfj,i,s,f,j
186,이거 설거지 내기,enfp,e,n,f,p
187,아 그러면 제가 같이 할게요,isfj,i,s,f,j
188,가만히 있고 2만원씩 달라고,entj,e,n,t,j
189,원래 세상에 설거지하는 셰프는 없어요,intj,i,n,t,j
192,이거 근데 치우고 가야 하는 거 아니에요?,estj,e,s,t,j
193,이것만 정리하고 갈까요?,entp,e,n,t,p
197,옆에 안 가세요?,enfj,e,n,f,j
198,이쪽으로 넘어오실 거라는데?,enfp,e,n,f,p
199,다 같이? 아~,enfj,e,n,f,j
201,넘어오신다고 하니깐 이제,isfj,i,s,f,j
202,네 도망가야 돼요,infj,i,n,f,j
203,근데 확실히 난 이 방이 편하다,entp,e,n,t,p
207,따라 해보고 있는데,enfp,e,n,f,p
208,오늘 장기자랑으로 이거 하셨다면서요,esfj,e,s,f,j
210,어ㅋㅋ 그냥 이거 만들어주셨어,enfp,e,n,f,p
211,엄청 귀엽다 이거 어떻게 하는 거야?,esfj,e,s,f,j
212,바느질하는 남자 아주 섬세해 보이더라고,enfp,e,n,f,p
218,으 힘들어 아이구 허리야,isfj,i,s,f,j
220,어 깜짝이야! 아 깜짝이야 깜짝이야!,isfp,i,s,f,p
222,아 나 분명 아 내가 아까 문 닫은 적이 없는데 문 닫혀있지? 했는데 아무도 없네? 했는데,isfp,i,s,f,p
223,슬그머니 와서 누워있었어,isfj,i,s,f,j
224,언니 어땠어요?,isfp,i,s,f,p
227,비호감 투표 받을 거 같아요,isfj,i,s,f,j
228,왜 왜? 그럴리 없어 왜?,isfp,i,s,f,p
229,아니야 진짜...,isfj,i,s,f,j
230,롤플레잉을 아주 재밌게 했다고~?,istp,i,s,t,p
231,근데 진짜 웃겨요,esfj,e,s,f,j
232,한번 보여줘 너무 재밌어 너무 재밌어,estp,e,s,t,p
233,두 분 두 분! 두 분 앉아가지고 한 번만 해보면 안 돼요?,entp,e,n,t,p
237,둘이 둘이 한번 해봐 둘이,estp,e,s,t,p
238,억텐으로는 내지,entj,e,n,t,j
239,샘플을 보여드릴게요,esfj,e,s,f,j
240,아니 (롤플레잉) 하면서 화 잘 내요?,istp,i,s,t,p
241,화? 그냥 웃기려고 내는 거지 진짜는 잘 안 나,entj,e,n,t,j
242,진짜 화 잘 안 나요?,istp,i,s,t,p
243,아니이~ 속았어 속았어 그 개그맨 분 있잖아요 그 분이 아 그 방은 뭐 무슨 일 없었어요? 우리 방은 얘기하다가 막 울고불고 난리도 아니었어요 이러는 거예요 그래가지고 아 진짜요? 왜요? 이랬더니 그냥 얘기하다 보니까~ 눈물도 흘리고 막 그랬어요 이러는 거예요 그때 나 갑자기 동질감 느껴져서 저도 아까 울긴 울었어요 이랬거든요? 갑자기 다 같이 어어~ 이렇게 하는 거예요 근데 뭔지 알죠 그거 들으면 더 슬프잖아요 그래서,isfj,i,s,f,j
244,더 눈물 나 맞아 맞아,isfp,i,s,f,p
245,어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 별 일도 아닌데 그래서 그때부터 갑자기 진짜 폭풍 눈물이 나는데 감정 컨트롤이 안되는 거예요,isfj,i,s,f,j
246,아까 전에 못 참았잖아요 언니가,isfp,i,s,f,p
247,내가 원래 우울해가지고...,isfj,i,s,f,j
248,아니야~ 절대 그런 거 없어 아니야 아니야 무슨~ 무슨 언니가... 하나도 안 우울해,isfp,i,s,f,p
249,또 나를 숨겨주네,isfj,i,s,f,j
251,둘이 만난 지 일 년 됐어 일 년 돼가지고 이제 남자친구가~ 남자친구가 여자친구 데리고 어디 좋은 데 데려가려고 저기 시그니엘 가가지고 인 당 20만 원짜리 코스요리를 먹었어 근데 코스요리를 먹는데 오빠가 저기 여기 김치 없어요? 공깃밥 있어요? 막 이런 거야,entp,e,n,t,p
252,시그니엘 가서?,entj,e,n,t,j
253,시그니엘 가가지고 저 공깃밥 있으면 하나 주세요!,entp,e,n,t,p
254,야...ㅋㅋ 야 나도 누울 자리 볼 줄 아는 사람인데 거기 가가지고...,entj,e,n,t,j
255,아니 근데 그때 마침 분위기가 좋아가지고 오빠가 웃기겠다고~,entp,e,n,t,p
256,나 급발진을 한 거구나~ 븅X같이~,entj,e,n,t,j
257,근데! 거기에서!,entp,e,n,t,p
258,그럴 수는 있지!,entj,e,n,t,j
260,근데 그게 왜 그랬냐면은 거기에서 종업원이 오빠를 알아봤어~,entp,e,n,t,p
261,또 신났구나~ 또 알아봐가지고~ 못 알아봤으면은 거기서 안 나댔는데!,entj,e,n,t,j
262,근데 여자친구가!,entp,e,n,t,p
263,아 상황이 개 디테일하네~,entj,e,n,t,j
264,이렇게 방에서 대화하는 건 안 담았으면 좋겠어 진짜 방에서 대화하는 건 내보내지 마세요! 부탁드립니다! 근데 이게 여기까지 찍히나 이 각도가?,isfj,i,s,f,j
266,그렇게 설정을 해 놨으려나?,isfj,i,s,f,j
267,나 이미 엉덩이 뜨고 얘기 듣고 있다 이만큼 뜨고 듣고 있어 어 얘기해 봐 나 어화둥둥이야 지금 날 알아봤어~,entj,e,n,t,j
268,근데 남자친구가 위에 이제 객실까지 예약 다 해놓고 근데 여자친구가,entp,e,n,t,p
269,간다는 소리는 안 하겠지 갑자기,entj,e,n,t,j
271,아니 여자친구가 창피한 거야 계속 먹는 내내 틱틱거렸어 근데 인제 계산까지 오빠가 한 40만 원 결제하고 우리 이제 거기 전망대 보고 객실 올라갈까? 이러는데 표정 굳어있으니까 근데 너 표정이 왜 그래? 시작!,entp,e,n,t,p
272,아 그것도... 아이 그걸 또 몰라 나도? 나 너무 눈치.. 모른다고? 나 아는데 난... 난 이미 눈치 알아! 이미 아는데 모르는 척하는 거겠지,entj,e,n,t,j
273,어 근데 여기가 괘씸해가지고 한번 물어봤어,entp,e,n,t,p
274,상황극을 해야 돼요,estp,e,s,t,p
275,어 레스토랑 앞이야 나왔어,entp,e,n,t,p
276,맛있어? 하나만 잡았지~ 잡았지~ 잡았지~ 냠~,entj,e,n,t,j
280,그리고 내가 그때 ISFJ 대표로 나왔잖아요 ISFJ들이 이렇게 울보는 아니거든요?,isfj,i,s,f,j
282,아니야 진짜로 그 그거 읽어보면 이렇게까지 울보는 아니고 뭔가 씩씩하고 끈기가 있고 인내심이 강하고 그러고 배려를 잘하고 막 이런 느낌인데 내가 지금 여기 와서 계속 울기만 하고 막.. 요리도 못하고 이러니까..,isfj,i,s,f,j
283,그게 그게 무슨~,isfp,i,s,f,p
284,미안해 난 이 ISFJ한테 미안해 내가 이런 대표라는 게,isfj,i,s,f,j
286,그래서 너무 자괴감들어,isfj,i,s,f,j
287,저 휴식 시간에 잠만 잤어요~,isfp,i,s,f,p
288,근데 ISFP에 맞아요 아니 ISFP는 막 잠만 잔다 그래가지고 잠만보래요 그래서 차라리 내가 ISFP였으면 진짜 잠만 잤을 거야 캐릭터에 맞게,isfj,i,s,f,j
289,아냐 나 캐릭터에 맞게 움직이지 않았어~,isfp,i,s,f,p
291,오늘! 좋았다~ 내일은 내일은 내가 열심히 해볼게 나 오늘 굿 리스너 모드였거든,entj,e,n,t,j
292,나도 내일 한 마디도 안 할라고,istp,i,s,t,p
293,아니 왜냐면 왜냐면 그 싫어요 두 개가 살짝 날 위축되게 만들더라고,entj,e,n,t,j
294,근데 어제보단 확실히 어제보단 달랐어,enfj,e,n,f,j
295,많이 들어주려고 했어,entj,e,n,t,j
296,어제보단 조금 많이 계속 듣고 리액션을 했지,enfj,e,n,f,j
297,빨간 거 두 개가 생각보다.. 날 구속시키더라고,entj,e,n,t,j
298,내일은 더 더 불호만 있을 거야,istp,i,s,t,p
299,그래서! 그래서 내가 계획을 세운 게 내일도 이렇게까지 했는데 빨간 게 생긴다 난 아래를 찍어볼 생각이야 그래서,entj,e,n,t,j
300,부탁해요! 지짜루 그거 잔인해요~,isfj,i,s,f,j
301,누구보고 말하는..,isfp,i,s,f,p
302,내일은 또 옮기나? T끼리?,istp,i,s,t,p
303,그니까 내일 한번 보겠고만 내일 한번 보겠어,entj,e,n,t,j
304,어? 내일 T!,istp,i,s,t,p
306,F? F예요?  F T F 와 그럼 F들은 모여서 뭐 하나? 하하 호호 하면서 이제 그냥,istp,i,s,t,p
307,감동적인 영화 볼게요,esfp,e,s,f,p
308,그냥 서로 감상들에 빠져가지고,istp,i,s,t,p
309,그렇게 간다구?,enfj,e,n,f,j
310,너 그냥 이제 막 가기로 한 거야?,entj,e,n,t,j
311,누워있지 뭐야 왜 앉아있어요? 눕는 거 좋아하잖아 두통에 좋아 두통에,isfj,i,s,f,j
312,저 누워있는 거 아니야~ ISFP라고 다 누워있는 걸 좋아하는 게 아니에요 저 누워있지 않고 기대있는 거지!,isfp,i,s,f,p
313,내가 편견이 있네 편견이~,isfj,i,s,f,j
314,나 지금 기대..! 누워있는 거 아니.. 기대있는 거예요 살짝..! 반 앉아있는 거죠~ 저는.. 많이 누워있지 않아요~ 누가 누워있,isfp,i,s,f,p
315,원래 이런 걸까요 성향이?,isfj,i,s,f,j
316,아니 근데 그냥 아까.. 말하고 싶은 게 절대 우울한 사람이 아니라 행복한 사람이야,isfp,i,s,f,p
319,가야 돼 엉엉엉,esfj,e,s,f,j
320,아 이제 시간 되니까?,enfj,e,n,f,j
322,아까 있던 데로?,enfj,e,n,f,j
323,지금 우리 만난 이래로 제일 조용한 것 같아요 사람 있는데 기가 빨렸나 봐,entp,e,n,t,p
324,준비하는 거지 이제 어우 좋다,enfj,e,n,f,j
326,누구부터 가실래요?,estj,e,s,t,j
328,이쪽부터 이렇게 아 어어,esfp,e,s,f,p
329,갔다오세용 나머지는 마술이나 하고 있죠,estj,e,s,t,j
331,저 한번 해볼래요,isfp,i,s,f,p
332,아 또 다른 거 해드릴까요 이제?,estj,e,s,t,j
336,호감이라고 생각됐던 MBTI는! ISFJ입니다 저랑 앞 글자만 다른 사람이 나랑은 얼마나 잘 맞을까? 혹은 얼마나 안 맞을까를 오늘 좀 많이 좀 볼라고 노력을 했던 것 같은데 근데 마침 또 같은 방에 배정이 되어서 저는 너무 좋았던 것 같아요 좀.. 친해지고 싶은 사람이다?,esfj,e,s,f,j
337,댄서 분이 ES.. TJ 맞나요? 그분이요 그분이 제 구독자시라고 하면서 계속 저한테 제 영상 잘 봤다면서 제 영상 후기를 하나씩 알려주셨는데 너무 감사했어요,isfj,i,s,f,j
338,ISFJ분! 굉장히 얘기를 많이 했고 그냥 그런 성격 물론 되게 조용하시고 내성적이셔서 뭔가 밖에서 만나면 힘들 것 같지만 그냥 그런 사람이 인기도 많을 것 같고,estj,e,s,t,j
339,저~랑! 거의 비슷하신 ESTP! 저도 되게 똑똑한 사람을 좋아해가지고 되게 그냥 사람이 여유 있어 보이고 뭐 그렇다고 해서 되게.. 막 거들먹거리거나 이런 것도 아니고 음 되게 잘 웃고 뭐 다른 사람들도 잘 받아주고 이래가지고 저는 되게 그분 좋았던 것 같고,istp,i,s,t,p
340,ISTP인데 가장 재밌었어요 저랑 E랑 I만 빼고 나머지가 다 똑같은 케이슨데 논리적인 말을 할 때도 되게 재밌었고 나머지 파트에서도 상황극도 되게 잘해주시고 그리고 낄 때 딱 껴주시고 빠질 때 딱 빠져주시는 게 가장 재밌었습니다,estp,e,s,t,p
341,INFJ님입니다 되게 조용히 남들을 관찰을 하는 거를 제가 봤는데 되게.. 인상 깊었고! 배려심 가득한 MBTI라고 생각을 했습니다,entp,e,n,t,p
342,그래도 가장 솔선수범하고 또 옆에서 그런 부분을 많이 보여주셨던 ENFJ님!,infj,i,n,f,j
343,ISFJ분이 오늘.. 그냥 얘기 들었던 내용들이 있는데 그걸 듣고 나니까 그냥.. 자연스레 그쪽으로 좀 신경이 쓰여서,enfj,e,n,f,j
344,ENTJ! 저를 많이 챙겨주신 것 같아요 제가~ 좀 적응을 잘 할 수 있게 같이 보드게임을 많이 해주려고 하셔가지고 많이 편하고 좋았구요,intp,i,n,t,p
345,INFP인! 그 쵸단님! 제가 하는 노력이 성격을 바꾸는 노력보다는 애티튜드에 대한 노력이었는데 성향을 좀 바꾸려고 하는 노력하는 모습이 너무 멋있다고 생각했어요,entj,e,n,t,j
346,성격을 바꾸려고 하는 노력하는 모습이 그리고 되게 진지하게... 노력을 하시는 거 같아서 그게 좋았습니다 그래서 INFP님을 뽑겠구요,intj,i,n,t,j
347,되게 많이 격려해 주신다고 느껴져가지구 하루가 좀 변화한다는 느낌을 받았습니다 그래서 오늘 저는 ENFP 언니,infp,i,n,f,p
348,INFP 너무 매력이 있으시더라구요 양파 같은 매력이 있는? 전혀 안 그럴 거 같은데 또 새로운 모습이 있고 또 게다가 엄청 긍정적이고 되게 예의도 엄청 바르시고,enfp,e,n,f,p
349,호감 MBTI로 ISFP님을 뽑고 싶습니다 오늘 이야기를 해 보니까 너무 많은 부분이 잘 맞는 거예요~ 정말 하나부터 끝까지 다 너무 잘 맞았어요 침대를 세상에서 제일 좋아하는 것도 그렇고,esfp,e,s,f,p
350,ISFJ님입니다 참... 보면서 참 마음이 아픕니다 공감대가 많다 보니까~ 더.. 좋은 것 같아요 저의 룸메이트거든요,isfp,i,s,f,p
351,ESTJ 님? 같은 STJ가 너무... 똑같은 사람일 거라 안 맞을 거라고 조금 무심결에 상상을 했었는데 오늘 또 대화를 해보니까 같아서 또 많이 공감 할 수 있는 부분이 많더라고요 그래서.. 되게 신기하고 재밌고 얘기도 많이 잘 통했어요,istj,i,s,t,j
352,저희 저녁 식사할 때 N분 들어오셨을 때 그때 느꼈어요 아 이게 S랑 N의 차이구나? 저희는... 그 약간 상상? 하는 거를 되게 못하는데 그 저녁 먹으면서 이런 상황에서 한번 상황극을 해보자 라는 그 설정 레퍼토리를 정말 상상력을 총동원해가지고는 막 이렇게 얘기하시는 게 아 이래서 이렇게 나누어지는구나 라고 딱 느꼈던 부분인 거 같아요 오늘 그게 제일 재미있었어요,istj,i,s,t,j
353,N하고 S하고 차이를 모를 만큼 뭔가 그냥 특별할 거 없이 재미있던 하루였던 거 같아요 ,entp,e,n,t,p
354,ENTJ 오빠가 안 계셔서 오늘 하루 생활이 너무 조용했어요 약간 덜 기가 빨렸다,esfj,e,s,f,j
355,음 너무 에너지가 과해서 좀 부담이 됐다 이렇게 느끼신 분들이 있어서 그런지 어제 내 얘기만 너무 많이 하지 않았나 이렇게 생각하면서 뭔가 굿 리스너가 한번 돼 보자 다른 사람의 상황도 조금 이해하면서 다가가 보면 어떨까 해서 잘 됐을지는 모르겠지만 그래도 최대한 오늘은 좀 많이 들어보려고 했어요,entj,e,n,t,j
356,일단 어제보다 조금 한결 괜찮아진 것 같습니다 또 다른 나를 또 알게 된 하루였던 거 같습니다 ,enfj,e,n,f,j
357,어제는 어떻게 맞춰줘야 될지에 대한 좀 머리에 의문점이 있었거든요 그래서 조그만한 불편함이 있었는데 지금은 뭐 거의 없어진 거 같아요 그래서 너무 편합니다 이제는 이제 여기서 자기도 하고 그렇습니다,esfp,e,s,f,p
358,정말 N끼리만 모이니까 한 명도 빠짐없이 상상을 많이 하는 사람들이다 보니까 뭔가 소외되는 사람 없이 그 상황에 다 몰입해가지고 대화를 하는 게 엄청 흥미로웠고 어 뭔가 좀 마음이 편했던 거 같아요,enfp,e,n,f,p
359,오늘은 그 장기자랑할 때도 저는 이제 I들은 대개 좀 못 할려고 하고 E는 막 잘 할 거 같고 이런 게 아니라 그냥 사람마다 다르다는 거를 저는 좀 느꼈던 거 같고요 ,istp,i,s,t,p
360,E분들하고 섞이니까 다양한 이렇게 활동을 해도 되게 즐겁게 더 활기차게 할 수 있는 부분이 있는 걸 또 발견을 했습니다,infj,i,n,f,j
361,오늘은 조금 많이 피곤하고 막 밥도 제대로 많이 못 먹어가지고 약간 힘든 내색을 한 거 같아서 걱정이 많았는데 N끼리 있어서 그런지는 모르겠지만 되게 편했고 막 그래서 좋았었던 거 같아요 ,infp,i,n,f,p
362,뭔가 오늘은 어제보다 어제의 저보다 많은 얘기를 했던 거 같아요 막 제 성격 원래 성격대로 어제는 좀 떨려가지고,estj,e,s,t,j
363,E와 I가 좀 밸런스 있게 4명씩 섞여있어서? 제가 생각했을 때 분위기가 분위기도 같이 균형이 잡혀있는 느낌이었고요 장기자랑... 타임이 있더라고요 그래서... 정말... 머리가 새하얘지면서 아찔했고 그 시간이 어떻게 지나갔는지 모를 정도로 힘들었습니다 ,intj,i,n,t,j
364,약간 안타까웠던 거는 우리 INTJ님 저의 모습을 엿보는 거 같았아요 저도 솔직히 뭐 장기자랑 이런 거 제일 사실 좀.. 불편해하는 편이에요 저는 대충 인형 만들기로 넘어갔는데,intp,i,n,t,p
365,음 장기자랑... 따흑! 아 눈물 나 아니 근데 정말 너무 떨렸어요 다들 재주꾼들이시고 저는 노래와 춤을 잘하지 않아요 뻔뻔함? 그거 한번 잘하면 되지 않을까 그래서 했죠,isfp,i,s,f,p
366,어제는 E끼리만 뭉쳐있다 보니까 E사이에서 약간 I인 느낌? 인듯한 느낌을 받았었는데 오늘은 N이랑 S에 대해 이렇게 따로따로 모여서 I랑도 좀 섞이게 되니까 조금 더 기가 살았다고 말할 수 있을 거 같아요,estp,e,s,t,p
367,오늘 하루를 보내보니까 세상에 진짜 너무너무너무너무너무너무너무 다양한 사람이 있는 거 같아서 너무 신기했습니다 이틀이 됐는데도 여전히 불편해요 그래서 집에 가고 싶어요 당황스럽고 울려고 한 게 아닌데 눈물이 나가지고 미안했어요 감사합니다 죄송합니다,isfj,i,s,f,j
372,따뜻한 얘기 하나 알려드릴까요? 제가 어제 여기서 자는 동안 ESTJ 오빠가 이불 덮어줬어요 이불 차고 다니니까... 너무 감동적이었어요 전 자고 있어서 몰랐는데...,esfj,e,s,f,j
375,어 뭐야ㅋㅋㅋ 귀요미ㅋㅋ,esfj,e,s,f,j
376,잘 잤어~? 뭐 줄까?,entp,e,n,t,p
377,그냥 엄마네 엄마가 돼 버렸어,entj,e,n,t,j
378,아하 제가 선택률이 낮은 직업은 교도관,intp,i,n,t,p
380,성직자 배우가 맞다고?,intp,i,n,t,p
382,연기 잘할 자신 없는데 그러니까 어떤 상황에서 슬퍼하고 눈물을 흘려야 되는데 난 절대 눈물이 안 날 것 같아 살면서도 울어본 적이 별로 없는데 연기를...,intp,i,n,t,p
383,너무 신기했어요 T들이 울어본 적이 없다는 게 좀 신기했어요,infj,i,n,f,j
384,그러니까 슬픔을 안 느끼는 건 아닌데 눈물이... ,intp,i,n,t,p
385,표현이 별로 안되는 거죠,infj,i,n,f,j
386,아냐 그것도 아니야 사실 진짜 슬픔도 잘 안 느껴,intp,i,n,t,p
387,혹시 사이코패스 이런 거 아니죠?,infj,i,n,f,j
390,아 우리 다 왔구나,estp,e,s,t,p
391,아 진짜 E들은 진짜 빠르다 I는 어떨지 궁금하다 진짜 지금쯤이면 근데 그런 거 없을 거 같아,entj,e,n,t,j
392,생각보다 어제도 막 거실에 나와 있는 사람이 더 많았잖아요,estj,e,s,t,j
394,아 첫날에 비하면?,enfj,e,n,f,j
395,편견이 깨졌어?,enfp,e,n,f,p
396,편견이 계속 깨지고 있어 솔직히,entj,e,n,t,j
397,저 어제 가서 물어봤거든요? I 분들한테 물어봤는데 I끼리 있을 땐 그래도 편하냐 물어봤는데 그것도 달라요 I끼리 있을 땐 편하다 하는 사람 있고 I끼리 있을 때도 불편하다 네 그런 사람도 있고,estj,e,s,t,j
398,확실한 건 E들 있을 때는 조금 불편한 게 없지 않아 있다는 거네,entp,e,n,t,p
399,확실히 불편해 해 힘이 떨어진대요 점점 저희는 직사광선 이런 느낌인 거 같고,estj,e,s,t,j
400,그럼 I를 날씨로 표현하면 뭐야?,esfp,e,s,f,p
401,그냥 구름 낀 거 아냐? 해에 가린 구름,enfj,e,n,f,j
403,이게 약간 S의 상상이야?,entp,e,n,t,p
404,난 지금 느티나무까지 갔어,entj,e,n,t,j
405,그 여기 올 때 PD님이랑 막 얘기하고 왔잖아요 PD님이 막 나보고 그런 얘기 하더라고 여기서 편히 휴식 취하고 편히 이렇게 놀다 가시면 될 거다,intp,i,n,t,p
406,맞아 나한테도 그랬어,isfj,i,s,f,j
407,했는데 전혀 공감이 안 돼,intp,i,n,t,p
409,아니 여기서 어떻게 충전을...,intp,i,n,t,p
410,제 말이 제 말이~,isfj,i,s,f,j
411,나한텐 절대 쉬는 게 아닐 것 같은데 근데 뭐가 제일 부담됐어요 여기 올 때?,intp,i,n,t,p
412,제 모습이 어떻게 사람들한테 비춰질까 이게 어쨌든 방영이 되고 제 구독자분들이 볼 거잖아요 그분들이 기대했던 모습이 아닌 모습을 보여드리면 좀... 실망하실 수도 있으니까 ,isfj,i,s,f,j
413,그런 생각 들 수 있겠다,intp,i,n,t,p
414,그분들을 실망시킬까봐 가 제일... 부담스러웠던 거 같아요,isfj,i,s,f,j
415,좋아해 주는 사람이 훨씬 많을 것 같은데,intj,i,n,t,j
416,그쵸 근데 근데 내가 진짜 잘 했는지 모르겠어 이틀동안... 어저께도 그렇고 그래서 어제 일기를 쓰면서 그래 하지만 내일도 이렇게 하면 더 실망할 거야 하면서 내일은 힘내자 파이팅! 이렇게 쓰고 잤죠,isfj,i,s,f,j
418,아니야 우리 그거 보러 가야지,entp,e,n,t,p
419,어? 투표지 봐야 되지 않을까요?,estj,e,s,t,j
423,식재료가 왔!어요,intp,i,n,t,p
424,뭐 시켰는지 기억이 안 나,isfj,i,s,f,j
425,우와 우와 포도다,isfp,i,s,f,p
430,없어! 비호감 없어!,esfj,e,s,f,j
433,하이~ 굿모닝~,enfp,e,n,f,p
434,나 삐뚤어질 거야,entj,e,n,t,j
436,여기 하나 생겼어,estj,e,s,t,j
437,누구야! 야 누구야,entj,e,n,t,j
439,아무 말도 안 했어요~,estj,e,s,t,j
441,오케이! 일단 들어가시죠,estj,e,s,t,j
442,가자 가자 어? 미션지 있다,entp,e,n,t,p
443,나 표 생겼어 개이득이야,estj,e,s,t,j
444,내가 얼마나 잘했는데,entj,e,n,t,j
445,괜찮아 그럴 수 있어,esfj,e,s,f,j
447,나 아까 말한 대로 딱 그거네 어제~,istp,i,s,t,p
449,그 새X 누구더라? 그 춤추는 애,istp,i,s,t,p
451,사람들이 싫어할 수도 있을 거 같아요 충분히 물론 이제 안 그러신 분인 건 알지만 이제 MBTI가! 구라다! 이렇게 말을 하시는데 자기의 신념이지만 그런 것 때문에 어? 왜 나를 이렇게.. 아니라고 생각하지? 라고 생각하면서 비호로 느낄 수 있을 것 같아요 제 비호라기보다는 그냥 사람들 눈에 비호일 수도 있다! 라는 생각으로 골라봤습니다,estj,e,s,t,j
452,어제 이후로 비호감을 거의 안 하네,istp,i,s,t,p
454,아무것도 없구나 이분들은 아직,istp,i,s,t,p
455,INTJ? 좋으시겠어~,istp,i,s,t,p
456,뭐가 좋아요ㅋㅋㅋ,intj,i,n,t,j
458,게임이 아주 재밌어지는구만 어제 굿 리스너의 모드였는데,entj,e,n,t,j
461,아주 재미있어 게임이,entj,e,n,t,j
462,"첫 번째 미션, T&F 하루 동안 생활할 각자의 소지품을 챙겨서 T, F 방으로 이동을 해야 합니다",esfj,e,s,f,j
463,여기가 T 방이고 저기가 F 방이네요,intp,i,n,t,p
465,난 또 이동 안 한다,istp,i,s,t,p
466,저기가 F 방이래요,isfj,i,s,f,j
467,(ISTP님) 한 번도 이동 안 하는거 아니야? INFP님 호감 늘었던데요,intp,i,n,t,p
